18	<- Number of trains;
trainID	trainSpeed	trainType	trainRoute
0	30	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	360	180	0	0	180	360	180	0	0	
1	50	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	0	360	0	180	360	0	0	0	
2	50	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	0	360	0	360	360	180	360	360	0	
3	30	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	360	180	0	360	360	360	360	0	
4	30	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	180	0	360	180	180	360	360	360	0	
5	30	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	360	180	180	360	360	0	360	0	
6	50	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	180	0	360	180	360	360	180	360	0	
7	50	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	180	0	180	360	180	360	180	0	
8	30	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	180	360	180	180	360	360	360	180	0	
9	30	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	0	360	180	360	180	180	180	0	
10	50	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	0	180	180	360	360	360	180	180	0	
11	50	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	0	360	180	360	180	360	0	0	
12	50	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	180	0	0	360	360	360	0	0	0	
13	50	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	0	180	180	0	360	360	0	0	0	
14	50	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	180	360	360	360	0	180	180	0	0	
15	50	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	180	180	180	360	0	180	0	360	0	
16	30	0	0	1	2	3	4	5	6	7	8	9	SPLIT	0	0	360	360	0	0	360	0	360	0	
17	50	1	9	8	7	6	5	4	3	2	1	0	SPLIT	0	360	360	0	0	0	360	0	360	0	
